name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2021-09-27,15.9,13.0,14.7,15.9,13.0,14.7,12.6,87.4,0.0,0,0.0,,0.0,0.0,,30.3,126.4,1019.1,98.4,8.9,49.9,4.3,2,,2021-09-27T06:35:24,2021-09-27T18:53:56,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-28,16.6,10.9,14.0,16.6,10.9,14.0,11.8,86.8,0.38,100,12.5,rain,0.0,0.0,33.5,27.5,131.5,1021.0,95.2,8.5,50.6,4.3,2,,2021-09-28T06:33:59,2021-09-28T18:54:41,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-29,19.0,14.0,16.7,19.0,14.0,16.7,13.2,80.3,0.0,0,0.0,,0.0,0.0,,25.5,79.7,1018.7,55.9,9.9,238.6,20.7,10,,2021-09-29T06:32:34,2021-09-29T18:55:25,0.77,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-30,17.9,15.8,16.5,17.9,15.8,16.5,14.4,87.4,18.39,100,8.33,rain,0.0,0.0,,25.0,77.3,1010.1,74.0,9.1,79.7,7.1,2,,2021-09-30T06:31:10,2021-09-30T18:56:10,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-01,23.7,12.0,17.5,23.7,12.0,17.5,10.3,66.6,0.0,0,0.0,,0.0,0.0,,11.9,172.1,1013.9,8.2,9.5,266.1,23.2,10,,2021-10-01T06:29:46,2021-10-01T18:56:56,0.87,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-02,18.6,13.5,16.1,18.6,13.5,16.1,9.9,67.2,1.55,100,4.17,rain,0.0,0.0,40.7,25.5,164.3,1011.2,51.2,9.8,64.3,5.6,3,,2021-10-02T06:28:22,2021-10-02T18:57:41,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-03,16.4,8.7,13.1,16.4,6.6,12.7,2.6,51.2,0.26,100,8.33,rain,0.0,0.0,37.1,18.6,207.0,1015.1,17.5,10.0,248.3,21.6,10,,2021-10-03T06:26:59,2021-10-03T18:58:27,0.95,Rain,Clear conditions throughout the day with rain clearing later.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-04,20.7,9.3,15.5,20.7,9.3,15.5,3.6,47.0,0.0,0,0.0,,0.0,0.0,,12.9,284.6,1017.6,4.0,10.0,267.7,23.2,10,,2021-10-04T06:25:36,2021-10-04T18:59:13,0.98,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,86560099999,F5854,87576099999"
Argentina,2021-10-05,21.3,12.8,17.3,21.3,12.8,17.3,8.6,57.1,0.0,0,0.0,,0.0,0.0,,24.8,221.7,1015.7,10.7,10.0,265.6,22.8,10,,2021-10-05T06:24:13,2021-10-05T18:59:59,1.0,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-06,17.9,11.9,15.2,17.9,11.9,15.2,5.6,54.1,0.0,0,0.0,,0.0,0.0,55.4,24.3,199.5,1019.9,21.9,10.0,263.3,22.7,10,,2021-10-06T06:22:51,2021-10-06T19:00:46,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
